Wall time,Step,Value
1637654307.8988473,0,3251.190673828125
1637654344.6124115,1,2557.88330078125
1637654380.369264,2,2364.69677734375
1637654416.8024943,3,2252.304931640625
1637654454.2082658,4,2091.33203125
1637654490.8356974,5,2005.9244384765625
1637654526.6217573,6,1924.1729736328125
1637654563.065265,7,1932.475341796875
1637654599.892085,8,1826.013916015625
1637654636.4640076,9,1820.1905517578125
1637654673.0123544,10,1744.6209716796875
1637654709.5840096,11,1691.9561767578125
1637654745.154777,12,1697.4510498046875
1637654780.3758805,13,1657.1363525390625
1637654815.5692751,14,1617.056396484375
1637654851.1459663,15,1580.7171630859375
1637654891.3818183,16,1536.5093994140625
1637654934.4469686,17,1589.89892578125
1637654976.0711424,18,1548.421630859375
1637655018.8721955,19,1466.6014404296875
1637655067.3080533,20,1516.7857666015625
1637655106.239527,21,1476.607666015625
1637655146.0393884,22,1472.640380859375
1637655188.152194,23,1421.1424560546875
1637655243.6213582,24,1405.164794921875
1637655297.2633605,25,1414.41455078125
1637655352.0243337,26,1419.3687744140625
1637655407.5460851,27,1421.9459228515625
1637655464.287591,28,1418.8529052734375
1637655515.8972547,29,1340.015380859375
1637655570.8313959,30,1390.3155517578125
1637655622.5557568,31,1362.6656494140625
1637655675.088219,32,1351.063720703125
1637655727.0033348,33,1362.79541015625
1637655782.318539,34,1364.8350830078125
1637655837.9644897,35,1330.960205078125
1637655890.6066608,36,1394.4833984375
1637655935.8202605,37,1295.866943359375
1637655977.918159,38,1383.8961181640625
1637656017.6503181,39,1336.7640380859375
1637656058.2951968,40,1334.98681640625
1637656098.6551442,41,1296.223388671875
1637656152.8753366,42,1329.128662109375
1637656199.3292575,43,1341.6580810546875
1637656242.127156,44,1321.48291015625
1637656284.467044,45,1329.3609619140625
1637656328.075455,46,1289.5928955078125
1637656373.6606147,47,1270.8751220703125
1637656415.6276345,48,1289.9266357421875
1637656457.6566348,49,1281.15576171875
1637656499.8610146,50,1271.4697265625
1637656541.4276206,51,1297.0250244140625
1637656582.9200892,52,1305.4322509765625
1637656624.9194367,53,1272.4512939453125
1637656666.6463153,54,1239.8692626953125
1637656708.073542,55,1275.976318359375
1637656749.6581633,56,1260.64501953125
1637656790.987314,57,1237.420654296875
1637656832.0210686,58,1296.9857177734375
1637656872.449243,59,1224.9302978515625
