Wall time,Step,Value
1637665885.4190347,0,1819.685546875
1637665929.8914638,1,1534.42578125
1637665974.7773116,2,1425.37939453125
1637666019.127751,3,1343.0745849609375
1637666062.8779607,4,1313.135986328125
1637666106.924069,5,1245.4263916015625
1637666150.8555548,6,1192.6773681640625
1637666194.4610198,7,1131.271484375
1637666237.9391527,8,1101.019287109375
1637666281.3699124,9,1044.430419921875
1637666325.205789,10,1047.840087890625
1637666368.7208297,11,1031.2481689453125
1637666412.325207,12,998.582275390625
1637666455.9207017,13,983.799072265625
1637666499.7711272,14,989.7926025390625
1637666543.8520854,15,952.0531616210938
1637666588.0956497,16,940.4334716796875
1637666631.8557732,17,933.1727905273438
1637666676.6355412,18,921.4197998046875
1637666721.7850187,19,897.100830078125
1637666766.7726185,20,889.5318603515625
1637666811.7084672,21,853.2925415039062
1637666856.6978207,22,881.6359252929688
1637666901.5027466,23,885.4183959960938
1637666946.3957212,24,860.9082641601562
1637666990.6529455,25,827.251708984375
1637667035.725044,26,808.7156372070312
1637667080.326447,27,841.79052734375
1637667125.500171,28,827.8880004882812
1637667171.3416476,29,811.3536376953125
1637667215.5053096,30,832.2661743164062
1637667259.8359783,31,805.3554077148438
1637667304.9260795,32,782.2950439453125
1637667348.918565,33,781.6654663085938
1637667392.4308174,34,758.2089233398438
1637667436.435163,35,783.9156494140625
1637667480.2143602,36,786.6142578125
1637667524.0213013,37,750.2633666992188
1637667567.6504757,38,755.5730590820312
1637667611.5287125,39,742.221435546875
1637667655.7162466,40,730.215087890625
1637667700.0891712,41,741.8994750976562
1637667743.236025,42,739.12744140625
1637667787.3132126,43,718.6572265625
1637667831.451815,44,733.8675537109375
1637667873.469295,45,727.9645385742188
1637667914.9785595,46,706.6350708007812
1637667955.6413639,47,711.209716796875
1637667996.413611,48,699.1754150390625
1637668036.986757,49,659.42529296875
1637668078.676613,50,715.673828125
1637668119.735404,51,696.9085693359375
1637668160.6684308,52,681.5136108398438
1637668202.0909686,53,670.0906372070312
1637668243.0328236,54,693.3102416992188
1637668284.132361,55,665.1738891601562
1637668325.3631713,56,661.7202758789062
1637668366.7617798,57,659.0739135742188
1637668408.3516364,58,660.22998046875
1637668449.3474085,59,686.0432739257812
